cidx,country,startIDX,endIDX,startDate,endDate,mean,sd,meanAndsd,count,max

PaicRankRangeWight0.0
155,,97,443,2020-05-01,2021-04-12,0.1587110259052237,0.145513249255401,0.1587110259052237&&&0.145513249255401,347,0.9143060944128697
21,,97,443,2020-05-01,2021-04-12,0.2088244057656512,0.1861310169887954,0.2088244057656512&&&0.1861310169887954,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.16275057100181792,0.1551222253514615,0.16275057100181792&&&0.1551222253514615,347,0.8865064019315854
98,,97,443,2020-05-01,2021-04-12,0.23872328167374457,0.30219214025879887,0.23872328167374457&&&0.30219214025879887,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.2276156690487856,0.18435550426174357,0.2276156690487856&&&0.18435550426174357,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.19957248621079302,0.16898944194342372,0.19957248621079302&&&0.16898944194342372,322,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21892728712399573,0.23176317192411858,0.21892728712399573&&&0.23176317192411858,276,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.1362959770759844,0.15399456685431884,0.1362959770759844&&&0.15399456685431884,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.3222182102032325,0.2585595836004881,0.3222182102032325&&&0.2585595836004881,310,1.4414743212114085
124,,97,443,2020-05-01,2021-04-12,0.1314344920176643,0.1373498756170979,0.1314344920176643&&&0.1373498756170979,347,0.7266353509851552

PaicRankRangeWight0.1
155,,97,443,2020-05-01,2021-04-12,0.15755632545465656,0.14450016550908484,0.15755632545465656&&&0.14450016550908484,347,0.9329066197538026
21,,97,443,2020-05-01,2021-04-12,0.21860209690302126,0.19650641985710726,0.21860209690302126&&&0.19650641985710726,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15939106224607447,0.15007527237671128,0.15939106224607447&&&0.15007527237671128,347,0.8865064019315854
98,,97,443,2020-05-01,2021-04-12,0.23969516962135035,0.304260858379603,0.23969516962135035&&&0.304260858379603,345,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.228079425253406,0.18369247788285825,0.228079425253406&&&0.18369247788285825,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.20124798645363695,0.17150701579762723,0.20124798645363695&&&0.17150701579762723,323,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.21399170886054075,0.2274668446959927,0.21399170886054075&&&0.2274668446959927,278,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.13320218620691046,0.1499417390548204,0.13320218620691046&&&0.1499417390548204,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.3419771682837637,0.28502839684587683,0.3419771682837637&&&0.28502839684587683,311,1.8794681491830458
124,,97,443,2020-05-01,2021-04-12,0.1314766237434847,0.13729353807023342,0.1314766237434847&&&0.13729353807023342,347,0.7266353509851552

PaicRankRangeWight0.2
155,,97,443,2020-05-01,2021-04-12,0.1499860500797578,0.1268255642444254,0.1499860500797578&&&0.1268255642444254,347,0.9329066197538026
21,,97,443,2020-05-01,2021-04-12,0.22514425585988182,0.20546036002357546,0.22514425585988182&&&0.20546036002357546,347,0.9879847486519707
71,,97,443,2020-05-01,2021-04-12,0.15646676405231474,0.14922788799648473,0.15646676405231474&&&0.14922788799648473,347,0.8801381268566258
98,,97,443,2020-05-01,2021-04-12,0.2421780603251757,0.3222681633409806,0.2421780603251757&&&0.3222681633409806,346,4.020063037164734
153,,97,443,2020-05-01,2021-04-12,0.21469896048711792,0.16446199212605608,0.21469896048711792&&&0.16446199212605608,337,0.941895942666368
77,,97,443,2020-05-01,2021-04-12,0.20436030714797557,0.18103048212919928,0.20436030714797557&&&0.18103048212919928,325,0.9395965821149882
56,,97,443,2020-05-01,2021-04-12,0.22123393939721678,0.23436369646453145,0.22123393939721678&&&0.23436369646453145,279,1.4266635003265165
73,,97,443,2020-05-01,2021-04-12,0.12804185244461486,0.1410278284917619,0.12804185244461486&&&0.1410278284917619,347,0.7795943698312182
138,,97,443,2020-05-01,2021-04-12,0.34314242953391527,0.2978413243473334,0.34314242953391527&&&0.2978413243473334,311,1.8794681491830458
124,,97,443,2020-05-01,2021-04-12,0.12681131838972695,0.13100916373499238,0.12681131838972695&&&0.13100916373499238,347,0.7266353509851552

PaicRankRangeWight0.3
155,,97,443,2020-05-01,2021-04-12,0.14377892512619875,0.12090784356038728,0.14377892512619875&&&0.12090784356038728,347,0.9329066197538026
